Age_bracket,total,same_house,moved_same_county,moved_in_state,moved_in_usa,moved_from_abroad
Total,VD01,VD18,VD34,VD50,VD66,VD82
1 - 4,VD03,VD19,VD35,VD51,VD67,VD83
5 - 17,VD04,VD20,VD36,VD52,VD68,VD84
18 & 19,VD05,VD21,VD37,VD53,VD69,VD85
20 - 24,VD06,VD22,VD38,VD54,VD70,VD86
25 - 29,VD07,VD23,VD39,VD55,VD71,VD87
30 - 34,VD08,VD24,VD40,VD56,VD72,VD88
35 - 39,VD09,VD25,VD41,VD57,VD73,VD89
40 - 44,VD10,VD26,VD42,VD58,VD74,VD90
45 - 49,VD11,VD27,VD43,VD59,VD75,VD91
50 - 54,VD12,VD28,VD44,VD60,VD76,VD92
55 - 59,VD13,VD29,VD45,VD61,VD77,VD93
60 - 64,VD14,VD30,VD46,VD62,VD78,VD94
65 - 69,VD15,VD31,VD47,VD63,VD79,VD95
70 - 74,VD16,VD32,VD48,VD64,VD80,VD96
75+,VD17,VD33,VD49,VD65,VD81,VD97
