Age_bracket,total,same_house,same_county,moved_in_state,moved_out_of_state
1 - 4,VD03,VD19,VD35,VD51,VD67
5 - 17,VD04,VD20,VD36,VD52,VD68
18 & 19,VD05,VD21,VD37,VD53,VD69
20 - 24,VD06,VD22,VD38,VD54,VD70
25 - 29,VD07,VD23,VD39,VD55,VD71
30 - 34,VD08,VD24,VD40,VD56,VD72
35 - 39,VD09,VD25,VD41,VD57,VD73
40 - 44,VD10,VD26,VD42,VD58,VD74
45 - 49,VD11,VD27,VD43,VD59,VD75
50 - 54,VD12,VD28,VD44,VD60,VD76
55 - 59,VD13,VD29,VD45,VD61,VD77
60 - 64,VD14,VD30,VD46,VD62,VD78
65 - 69,VD15,VD31,VD47,VD63,VD79
70 - 74,VD16,VD32,VD48,VD64,VD80
75+,VD17,VD33,VD49,VD65,VD81
