GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD80,HD02_VD80,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83,HD01_VD84,HD02_VD84,HD01_VD85,HD02_VD85,HD01_VD86,HD02_VD86,HD01_VD87,HD02_VD87,HD01_VD88,HD02_VD88,HD01_VD89,HD02_VD89,HD01_VD90,HD02_VD90,HD01_VD91,HD02_VD91,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 1 to 4 years,Margin of Error; Total: - 1 to 4 years,Estimate; Total: - 5 to 17 years,Margin of Error; Total: - 5 to 17 years,Estimate; Total: - 18 and 19 years,Margin of Error; Total: - 18 and 19 years,Estimate; Total: - 20 to 24 years,Margin of Error; Total: - 20 to 24 years,Estimate; Total: - 25 to 29 years,Margin of Error; Total: - 25 to 29 years,Estimate; Total: - 30 to 34 years,Margin of Error; Total: - 30 to 34 years,Estimate; Total: - 35 to 39 years,Margin of Error; Total: - 35 to 39 years,Estimate; Total: - 40 to 44 years,Margin of Error; Total: - 40 to 44 years,Estimate; Total: - 45 to 49 years,Margin of Error; Total: - 45 to 49 years,Estimate; Total: - 50 to 54 years,Margin of Error; Total: - 50 to 54 years,Estimate; Total: - 55 to 59 years,Margin of Error; Total: - 55 to 59 years,Estimate; Total: - 60 to 64 years,Margin of Error; Total: - 60 to 64 years,Estimate; Total: - 65 to 69 years,Margin of Error; Total: - 65 to 69 years,Estimate; Total: - 70 to 74 years,Margin of Error; Total: - 70 to 74 years,Estimate; Total: - 75 years and over,Margin of Error; Total: - 75 years and over,Estimate; Total: - Same house 1 year ago:,Margin of Error; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - 1 to 4 years,Margin of Error; Total: - Same house 1 year ago: - 1 to 4 years,Estimate; Total: - Same house 1 year ago: - 5 to 17 years,Margin of Error; Total: - Same house 1 year ago: - 5 to 17 years,Estimate; Total: - Same house 1 year ago: - 18 and 19 years,Margin of Error; Total: - Same house 1 year ago: - 18 and 19 years,Estimate; Total: - Same house 1 year ago: - 20 to 24 years,Margin of Error; Total: - Same house 1 year ago: - 20 to 24 years,Estimate; Total: - Same house 1 year ago: - 25 to 29 years,Margin of Error; Total: - Same house 1 year ago: - 25 to 29 years,Estimate; Total: - Same house 1 year ago: - 30 to 34 years,Margin of Error; Total: - Same house 1 year ago: - 30 to 34 years,Estimate; Total: - Same house 1 year ago: - 35 to 39 years,Margin of Error; Total: - Same house 1 year ago: - 35 to 39 years,Estimate; Total: - Same house 1 year ago: - 40 to 44 years,Margin of Error; Total: - Same house 1 year ago: - 40 to 44 years,Estimate; Total: - Same house 1 year ago: - 45 to 49 years,Margin of Error; Total: - Same house 1 year ago: - 45 to 49 years,Estimate; Total: - Same house 1 year ago: - 50 to 54 years,Margin of Error; Total: - Same house 1 year ago: - 50 to 54 years,Estimate; Total: - Same house 1 year ago: - 55 to 59 years,Margin of Error; Total: - Same house 1 year ago: - 55 to 59 years,Estimate; Total: - Same house 1 year ago: - 60 to 64 years,Margin of Error; Total: - Same house 1 year ago: - 60 to 64 years,Estimate; Total: - Same house 1 year ago: - 65 to 69 years,Margin of Error; Total: - Same house 1 year ago: - 65 to 69 years,Estimate; Total: - Same house 1 year ago: - 70 to 74 years,Margin of Error; Total: - Same house 1 year ago: - 70 to 74 years,Estimate; Total: - Same house 1 year ago: - 75 years and over,Margin of Error; Total: - Same house 1 year ago: - 75 years and over,Estimate; Total: - Moved within same county:,Margin of Error; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - 1 to 4 years,Margin of Error; Total: - Moved within same county: - 1 to 4 years,Estimate; Total: - Moved within same county: - 5 to 17 years,Margin of Error; Total: - Moved within same county: - 5 to 17 years,Estimate; Total: - Moved within same county: - 18 and 19 years,Margin of Error; Total: - Moved within same county: - 18 and 19 years,Estimate; Total: - Moved within same county: - 20 to 24 years,Margin of Error; Total: - Moved within same county: - 20 to 24 years,Estimate; Total: - Moved within same county: - 25 to 29 years,Margin of Error; Total: - Moved within same county: - 25 to 29 years,Estimate; Total: - Moved within same county: - 30 to 34 years,Margin of Error; Total: - Moved within same county: - 30 to 34 years,Estimate; Total: - Moved within same county: - 35 to 39 years,Margin of Error; Total: - Moved within same county: - 35 to 39 years,Estimate; Total: - Moved within same county: - 40 to 44 years,Margin of Error; Total: - Moved within same county: - 40 to 44 years,Estimate; Total: - Moved within same county: - 45 to 49 years,Margin of Error; Total: - Moved within same county: - 45 to 49 years,Estimate; Total: - Moved within same county: - 50 to 54 years,Margin of Error; Total: - Moved within same county: - 50 to 54 years,Estimate; Total: - Moved within same county: - 55 to 59 years,Margin of Error; Total: - Moved within same county: - 55 to 59 years,Estimate; Total: - Moved within same county: - 60 to 64 years,Margin of Error; Total: - Moved within same county: - 60 to 64 years,Estimate; Total: - Moved within same county: - 65 to 69 years,Margin of Error; Total: - Moved within same county: - 65 to 69 years,Estimate; Total: - Moved within same county: - 70 to 74 years,Margin of Error; Total: - Moved within same county: - 70 to 74 years,Estimate; Total: - Moved within same county: - 75 years and over,Margin of Error; Total: - Moved within same county: - 75 years and over,Estimate; Total: - Moved from different county within same state:,Margin of Error; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - 1 to 4 years,Margin of Error; Total: - Moved from different county within same state: - 1 to 4 years,Estimate; Total: - Moved from different county within same state: - 5 to 17 years,Margin of Error; Total: - Moved from different county within same state: - 5 to 17 years,Estimate; Total: - Moved from different county within same state: - 18 and 19 years,Margin of Error; Total: - Moved from different county within same state: - 18 and 19 years,Estimate; Total: - Moved from different county within same state: - 20 to 24 years,Margin of Error; Total: - Moved from different county within same state: - 20 to 24 years,Estimate; Total: - Moved from different county within same state: - 25 to 29 years,Margin of Error; Total: - Moved from different county within same state: - 25 to 29 years,Estimate; Total: - Moved from different county within same state: - 30 to 34 years,Margin of Error; Total: - Moved from different county within same state: - 30 to 34 years,Estimate; Total: - Moved from different county within same state: - 35 to 39 years,Margin of Error; Total: - Moved from different county within same state: - 35 to 39 years,Estimate; Total: - Moved from different county within same state: - 40 to 44 years,Margin of Error; Total: - Moved from different county within same state: - 40 to 44 years,Estimate; Total: - Moved from different county within same state: - 45 to 49 years,Margin of Error; Total: - Moved from different county within same state: - 45 to 49 years,Estimate; Total: - Moved from different county within same state: - 50 to 54 years,Margin of Error; Total: - Moved from different county within same state: - 50 to 54 years,Estimate; Total: - Moved from different county within same state: - 55 to 59 years,Margin of Error; Total: - Moved from different county within same state: - 55 to 59 years,Estimate; Total: - Moved from different county within same state: - 60 to 64 years,Margin of Error; Total: - Moved from different county within same state: - 60 to 64 years,Estimate; Total: - Moved from different county within same state: - 65 to 69 years,Margin of Error; Total: - Moved from different county within same state: - 65 to 69 years,Estimate; Total: - Moved from different county within same state: - 70 to 74 years,Margin of Error; Total: - Moved from different county within same state: - 70 to 74 years,Estimate; Total: - Moved from different county within same state: - 75 years and over,Margin of Error; Total: - Moved from different county within same state: - 75 years and over,Estimate; Total: - Moved from different state:,Margin of Error; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - 1 to 4 years,Margin of Error; Total: - Moved from different state: - 1 to 4 years,Estimate; Total: - Moved from different state: - 5 to 17 years,Margin of Error; Total: - Moved from different state: - 5 to 17 years,Estimate; Total: - Moved from different state: - 18 and 19 years,Margin of Error; Total: - Moved from different state: - 18 and 19 years,Estimate; Total: - Moved from different state: - 20 to 24 years,Margin of Error; Total: - Moved from different state: - 20 to 24 years,Estimate; Total: - Moved from different state: - 25 to 29 years,Margin of Error; Total: - Moved from different state: - 25 to 29 years,Estimate; Total: - Moved from different state: - 30 to 34 years,Margin of Error; Total: - Moved from different state: - 30 to 34 years,Estimate; Total: - Moved from different state: - 35 to 39 years,Margin of Error; Total: - Moved from different state: - 35 to 39 years,Estimate; Total: - Moved from different state: - 40 to 44 years,Margin of Error; Total: - Moved from different state: - 40 to 44 years,Estimate; Total: - Moved from different state: - 45 to 49 years,Margin of Error; Total: - Moved from different state: - 45 to 49 years,Estimate; Total: - Moved from different state: - 50 to 54 years,Margin of Error; Total: - Moved from different state: - 50 to 54 years,Estimate; Total: - Moved from different state: - 55 to 59 years,Margin of Error; Total: - Moved from different state: - 55 to 59 years,Estimate; Total: - Moved from different state: - 60 to 64 years,Margin of Error; Total: - Moved from different state: - 60 to 64 years,Estimate; Total: - Moved from different state: - 65 to 69 years,Margin of Error; Total: - Moved from different state: - 65 to 69 years,Estimate; Total: - Moved from different state: - 70 to 74 years,Margin of Error; Total: - Moved from different state: - 70 to 74 years,Estimate; Total: - Moved from different state: - 75 years and over,Margin of Error; Total: - Moved from different state: - 75 years and over,Estimate; Total: - Moved from abroad:,Margin of Error; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - 1 to 4 years,Margin of Error; Total: - Moved from abroad: - 1 to 4 years,Estimate; Total: - Moved from abroad: - 5 to 17 years,Margin of Error; Total: - Moved from abroad: - 5 to 17 years,Estimate; Total: - Moved from abroad: - 18 and 19 years,Margin of Error; Total: - Moved from abroad: - 18 and 19 years,Estimate; Total: - Moved from abroad: - 20 to 24 years,Margin of Error; Total: - Moved from abroad: - 20 to 24 years,Estimate; Total: - Moved from abroad: - 25 to 29 years,Margin of Error; Total: - Moved from abroad: - 25 to 29 years,Estimate; Total: - Moved from abroad: - 30 to 34 years,Margin of Error; Total: - Moved from abroad: - 30 to 34 years,Estimate; Total: - Moved from abroad: - 35 to 39 years,Margin of Error; Total: - Moved from abroad: - 35 to 39 years,Estimate; Total: - Moved from abroad: - 40 to 44 years,Margin of Error; Total: - Moved from abroad: - 40 to 44 years,Estimate; Total: - Moved from abroad: - 45 to 49 years,Margin of Error; Total: - Moved from abroad: - 45 to 49 years,Estimate; Total: - Moved from abroad: - 50 to 54 years,Margin of Error; Total: - Moved from abroad: - 50 to 54 years,Estimate; Total: - Moved from abroad: - 55 to 59 years,Margin of Error; Total: - Moved from abroad: - 55 to 59 years,Estimate; Total: - Moved from abroad: - 60 to 64 years,Margin of Error; Total: - Moved from abroad: - 60 to 64 years,Estimate; Total: - Moved from abroad: - 65 to 69 years,Margin of Error; Total: - Moved from abroad: - 65 to 69 years,Estimate; Total: - Moved from abroad: - 70 to 74 years,Margin of Error; Total: - Moved from abroad: - 70 to 74 years,Estimate; Total: - Moved from abroad: - 75 years and over,Margin of Error; Total: - Moved from abroad: - 75 years and over
0500000US30001,30001,"Beaverhead County, Montana",9191,51,317,48,1322,20,405,45,807,18,439,10,510,69,500,143,452,114,539,45,685,33,901,103,600,109,638,78,359,72,717,19,7438,313,251,62,1050,131,146,71,467,102,284,63,246,83,439,140,429,114,468,53,608,52,864,105,549,98,605,86,336,73,696,29,726,177,23,29,105,86,11,13,196,87,81,47,149,71,11,16,8,13,38,27,48,35,11,18,9,13,14,18,8,11,14,18,600,182,26,27,107,86,165,60,110,65,59,49,56,47,18,24,0,14,11,20,13,13,15,17,14,32,0,14,6,10,0,14,418,164,17,28,60,62,83,37,34,28,15,16,59,37,32,37,15,16,13,19,16,18,11,17,28,28,19,21,9,13,7,10,9,16,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,9,16,0,14,0,14,0,14,0,14,0,14,0,14
0500000US30003,30003,"Big Horn County, Montana",12837,70,1111,98,3001,67,382,62,992,66,849,52,749,72,722,113,536,95,803,31,824,20,712,89,768,89,487,80,354,78,547,14,11712,337,956,133,2763,138,354,54,851,76,692,69,703,78,657,108,442,74,754,55,790,35,694,90,737,87,440,87,349,78,530,19,791,321,126,106,165,95,2,4,103,60,138,69,19,15,17,13,94,94,18,22,27,39,9,17,21,34,39,46,1,2,12,12,69,38,8,11,7,7,0,16,4,6,13,14,9,15,14,22,0,16,0,16,0,16,0,16,6,11,6,7,0,16,2,5,240,118,21,18,66,52,15,20,34,40,6,8,13,12,34,45,0,16,31,36,7,7,0,16,4,5,2,3,4,6,3,4,25,30,0,16,0,16,11,24,0,16,0,16,5,7,0,16,0,16,0,16,0,16,9,14,0,16,0,16,0,16,0,16
0500000US30005,30005,"Blaine County, Montana",6504,25,479,27,1412,18,165,49,434,55,382,40,381,14,294,54,346,55,411,9,488,13,395,46,398,45,316,35,186,30,417,13,5832,170,411,40,1336,44,151,47,328,61,277,44,318,32,259,53,294,50,395,19,469,13,359,50,370,61,300,35,184,30,381,31,278,105,17,14,22,19,7,9,43,37,66,28,17,15,7,11,38,42,5,11,5,5,9,9,2,3,2,3,2,3,36,30,210,106,26,21,33,30,1,2,7,12,20,15,32,26,7,9,0,14,11,13,6,7,27,36,26,32,14,14,0,14,0,14,159,81,25,22,19,15,6,9,56,47,8,9,14,18,17,18,14,21,0,14,0,14,0,14,0,14,0,14,0,14,0,14,25,32,0,14,2,5,0,14,0,14,11,17,0,14,4,6,0,14,0,14,8,11,0,14,0,14,0,14,0,14,0,14
0500000US30007,30007,"Broadwater County, Montana",5632,58,230,49,955,77,130,49,198,49,282,62,277,120,257,78,368,114,435,35,500,35,510,105,413,89,364,71,303,78,410,14,4850,273,135,81,852,125,109,46,116,50,151,93,130,73,252,76,345,115,428,34,486,38,470,102,346,79,363,71,292,78,375,25,212,141,60,81,0,14,0,14,49,45,41,50,25,37,0,14,6,11,7,13,7,12,0,14,0,14,0,14,5,7,12,15,265,188,35,38,4,7,19,22,33,24,0,14,118,158,0,14,0,14,0,14,0,14,6,9,30,33,1,2,1,2,18,20,300,181,0,14,99,92,2,5,0,14,90,74,4,7,5,9,17,29,0,14,7,11,34,42,37,40,0,14,5,9,0,14,5,9,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,5,9
0500000US30009,30009,"Carbon County, Montana",10070,37,306,37,1513,25,209,17,349,12,451,40,503,23,638,82,465,72,727,19,905,14,902,95,976,93,810,71,459,66,857,17,8844,267,239,48,1246,137,162,23,225,49,298,55,416,40,593,80,420,66,616,57,816,59,868,93,935,97,781,74,421,62,808,37,598,155,52,30,147,84,15,15,52,32,36,50,43,26,35,30,12,12,72,50,58,47,22,22,17,17,8,9,2,3,27,25,175,66,9,11,11,16,9,12,49,45,21,14,7,7,4,5,26,36,5,6,3,4,0,16,17,27,3,4,4,5,7,9,446,227,6,9,109,125,23,17,20,20,96,54,37,28,6,9,7,11,34,37,28,40,12,12,7,8,14,15,32,35,15,19,7,7,0,16,0,16,0,16,3,5,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,4,5,0,16,0,16
0500000US30011,30011,"Carter County, Montana",1197,108,41,17,171,44,53,23,44,16,47,21,64,16,41,18,49,34,92,26,77,23,136,33,96,22,65,18,65,25,156,31,1126,109,41,17,162,42,42,20,36,16,47,21,64,16,41,18,49,34,84,24,77,23,125,33,88,21,65,18,65,25,140,31,39,26,0,10,9,11,0,10,2,4,0,10,0,10,0,10,0,10,7,8,0,10,3,5,4,5,0,10,0,10,14,12,16,16,0,10,0,10,1,5,3,4,0,10,0,10,0,10,0,10,0,10,0,10,8,8,4,7,0,10,0,10,0,10,14,13,0,10,0,10,10,12,3,4,0,10,0,10,0,10,0,10,1,2,0,10,0,10,0,10,0,10,0,10,0,10,2,3,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,2,3
0500000US30013,30013,"Cascade County, Montana",80826,209,4392,211,13077,48,2019,136,6218,248,6011,159,5333,203,4305,349,4458,375,5001,142,6068,107,5708,326,5005,307,4022,259,3082,256,6127,68,65782,1001,3036,264,10596,385,1538,169,3567,376,3807,254,3733,238,3498,361,3712,339,4354,207,5586,169,5331,315,4662,299,3788,276,2931,260,5643,172,8964,964,874,190,1618,343,183,69,1676,364,1240,246,772,200,516,147,399,133,400,174,258,108,235,83,201,92,108,87,91,80,393,133,1970,374,119,83,236,119,93,51,318,115,262,104,369,141,130,81,54,39,90,56,83,48,74,45,32,28,44,32,17,18,49,49,3712,645,337,135,581,237,192,111,579,193,688,202,384,208,157,69,239,110,157,93,141,89,61,48,73,64,45,36,36,43,42,36,398,152,26,22,46,43,13,28,78,51,14,16,75,49,4,6,54,61,0,23,0,23,7,10,37,25,37,35,7,11,0,23
0500000US30015,30015,"Chouteau County, Montana",5814,19,266,22,1183,23,134,42,365,45,277,23,279,17,325,43,301,37,334,16,429,20,468,59,434,48,258,44,279,36,482,13,5287,114,250,24,1077,54,117,38,291,44,187,40,248,21,295,44,286,41,314,20,398,28,463,59,386,54,256,43,276,37,443,51,280,89,3,5,48,28,8,9,27,27,67,39,10,9,12,16,0,14,11,8,24,15,5,6,30,37,1,2,3,4,31,49,126,47,6,5,28,16,9,12,17,13,3,4,13,9,11,12,8,7,7,6,7,10,0,14,16,23,1,2,0,14,0,14,110,64,7,7,30,33,0,14,21,17,18,13,8,9,7,11,7,10,2,4,0,14,0,14,2,3,0,14,0,14,8,8,11,10,0,14,0,14,0,14,9,9,2,3,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
0500000US30017,30017,"Custer County, Montana",11747,40,667,65,1835,54,312,21,713,40,794,57,671,24,638,76,604,78,735,27,928,27,856,96,859,98,617,78,438,78,1080,17,9557,281,453,73,1547,98,196,48,380,93,541,84,423,65,534,86,516,83,649,51,814,58,765,96,815,95,531,84,435,78,958,59,1086,214,107,53,133,60,18,30,169,68,126,61,195,72,49,35,25,20,6,8,60,43,71,41,10,12,12,12,3,5,102,51,544,142,37,36,117,48,70,36,64,35,56,34,22,19,30,24,35,29,34,27,18,20,3,6,0,16,38,52,0,16,20,20,547,193,67,55,34,30,28,18,97,63,71,67,31,24,25,24,28,27,46,32,36,33,17,16,31,27,36,41,0,16,0,16,13,12,3,5,4,5,0,16,3,4,0,16,0,16,0,16,0,16,0,16,0,16,0,16,3,5,0,16,0,16,0,16
